X,Y
1,3.9934283060224653
2,4.72347139765763
3,8.295377076201385
4,12.046059712816051
5,10.531693250553328
6,12.531726086101639
7,18.158425631014783
8,18.534869458305817
9,18.061051228130097
10,22.08512008717193
11,22.073164614375074
12,24.068540492859487
13,27.48392454313207
14,25.173439510684403
15,27.550164334973935
16,31.875424941518055
17,32.97433775933115
18,37.628494665190544
19,37.18395184895758
20,38.17539259732942
21,45.93129753784311
22,44.54844739902693
23,47.13505640937585
24,46.15050362757309
25,49.91123455094964
26,53.22184517941973
27,52.6980128451554
28,57.75139603669135
29,57.79872262016239
30,60.41661250041345
31,61.79658677554121
32,68.70455636901788
33,66.97300555052414
34,66.8845781420882
35,72.64508982420638
36,70.55831270005795
37,75.41772719000951
38,73.08065975224045
39,76.34362790220314
40,81.39372247173824
